Date,Open,High,Low,Close,Adj Close,Volume
2020-03-02,1471.34,1478.68,1456.08,1466.94,1466.94,231463500
2020-03-03,1476.3,1481.36,1466.9,1478.64,1478.64,179122500
2020-03-04,1478.33,1491.07,1474.95,1489.95,1489.95,185113600
2020-03-05,1492.36,1497.31,1486.35,1491.03,1491.03,140555700
2020-03-06,1486.84,1486.84,1479.74,1483.1,1483.1,169355600
2020-03-09,1459.81,1459.81,1422.65,1424.16,1424.16,255462000
2020-03-10,1415.86,1446.73,1414.95,1430.47,1430.47,220291600
2020-03-11,1431.35,1454,1428.59,1443.83,1443.83,195734000
2020-03-12,1431.41,1432.7,1419.43,1419.43,1419.43,232856800
2020-03-13,1363.76,1369,1320.96,1344.75,1344.75,442093200
2020-03-16,1319.37,1319.37,1278.48,1280.63,1280.63,343898600
2020-03-17,1217.28,1278.43,1211.95,1256.58,1256.58,431606800
2020-03-18,1254.43,1275.23,1226.26,1239.01,1239.01,292176800
2020-03-19,1227.71,1242.82,1207.8,1219.72,1219.72,280828500
2020-03-20,1220.54,1304.55,1220.54,1303.28,1303.28,396283500
2020-03-23,1259.88,1259.88,1259.88,1259.88,1259.88,
2020-03-24,1271.34,1311.22,1271.34,1291.14,1291.14,199940700
2020-03-25,1322.19,1341.86,1304.97,1324.5,1324.5,208580500
2020-03-26,1333.73,1336.74,1309.21,1328.09,1328.09,173835400
2020-03-27,1335.57,1353.35,1335.57,1343.09,1343.09,194261000
2020-03-30,1336.23,1336.23,1317.39,1328.88,1328.88,144260500
2020-03-31,1336.6,1352.2,1335.91,1350.89,1350.89,260583600
2020-04-01,1344.9,1344.9,1322.66,1322.66,1322.66,189037100
2020-04-02,1320.62,1332.61,1316.94,1330.9,1330.9,154382300
2020-04-03,1331.56,1333.82,1324.41,1330.65,1330.65,138072800
2020-04-06,1332.61,1343.05,1324.43,1341.69,1341.69,150403500
2020-04-07,1355.51,1369.92,1352.63,1369.92,1369.92,182160000
2020-04-08,1366.46,1367.16,1358.2,1361.39,1361.39,149272300
2020-04-09,1368.89,1371.35,1366.53,1369.76,1369.76,131792500
2020-04-10,1361.62,1362.16,1354.28,1357.5,1357.5,81993900
2020-04-13,1357.94,1359.68,1352.78,1356.03,1356.03,73131100
2020-04-14,1361.01,1373.8,1357.83,1371.66,1371.66,114404000
2020-04-15,1375.62,1394.66,1375.12,1387.79,1387.79,166219900
2020-04-16,1381.96,13198.53,1378.3,1386.53,1386.53,162695500
2020-04-17,1395.55,1414.67,1395.55,1407.34,1407.34,161977100
2020-04-20,1411.69,1428.95,1411.69,1413.12,1413.12,183669900
2020-04-21,1407.23,1407.23,1381.73,1381.73,1381.73,166167900
2020-04-22,1366.4,1383.09,1359.54,1381.89,1381.89,190817200
2020-04-23,1388.74,1395.34,1378.78,1381.64,1381.64,147390800
2020-04-24,1376.17,1377.71,1367.49,1369.85,1369.85,143980200
2020-04-27,1371.6,1378.4,1370.16,1370.16,1370.16,74707700
2020-04-28,1371.98,1377.37,1367.44,1372.2,1372.2,145151500
2020-04-29,1372.39,1386.23,1372.17,1380.3,1380.3,122355200
2020-04-30,1383.96,1418.42,1383.96,1407.78,1407.78,189319500
2020-05-04,1388.83,1388.83,1375.39,1376.59,1376.59,116486800
2020-05-05,1378.75,1398.07,1378.75,1389.55,1389.55,79911100
2020-05-06,1387.75,1393.56,1376.93,1376.93,1376.93,105301100
2020-05-08,1382.12,1392.23,1382.02,1382.31,1382.31,127071100
2020-05-12,1379.44,1388.41,1377.56,1379.93,1379.93,139615300
2020-05-13,1383.22,1400.67,1379.1,1397.13,1397.13,186890100
2020-05-14,1400.34,1411.08,1388.8,1397.25,1397.25,180103600
