Date,Open,High,Low,Close,Adj Close,Volume
10-Mar-21,"1,629.03","1,642.20","1,628.82","1,639.83","1,639.83","229,133,700"
9-Mar-21,"1,615.99","1,625.22","1,612.29","1,624.78","1,624.78","218,665,000"
8-Mar-21,"1,607.48","1,625.69","1,607.48","1,611.81","1,611.81","257,561,700"
5-Mar-21,"1,582.68","1,600.12","1,579.74","1,600.12","1,600.12","232,875,700"
4-Mar-21,"1,588.89","1,590.46","1,577.39","1,581.26","1,581.26","246,614,300"
3-Mar-21,"1,576.90","1,588.45","1,568.65","1,588.45","1,588.45","321,230,300"
2-Mar-21,"1,572.03","1,583.43","1,568.67","1,569.87","1,569.87","311,452,100"
1-Mar-21,"1,578.70","1,584.46","1,563.18","1,567.14","1,567.14","291,083,800"
26-Feb-21,"1,580.97","1,586.23","1,563.56","1,577.75","1,577.75","399,365,000"
25-Feb-21,"1,566.90","1,587.11","1,565.77","1,581.54","1,581.54","349,181,300"
24-Feb-21,"1,571.01","1,581.55","1,557.55","1,557.55","1,557.55","414,859,700"
23-Feb-21,"1,573.67","1,580.68","1,565.05","1,565.05","1,565.05","235,770,800"
22-Feb-21,"1,587.51","1,587.51","1,570.46","1,570.46","1,570.46","179,953,300"
19-Feb-21,"1,580.18","1,584.93","1,573.84","1,584.93","1,584.93","186,226,900"
18-Feb-21,"1,599.31","1,599.31","1,575.84","1,575.84","1,575.84","192,950,300"
17-Feb-21,"1,609.51","1,609.51","1,593.80","1,595.29","1,595.29","194,961,500"
16-Feb-21,"1,612.04","1,613.01","1,605.40","1,606.14","1,606.14","198,115,800"
15-Feb-21,"1,607.00","1,614.92","1,607.00","1,608.07","1,608.07","114,171,800"
11-Feb-21,"1,602.19","1,602.50","1,594.52","1,599.42","1,599.42","69,045,700"
10-Feb-21,"1,586.94","1,596.85","1,586.87","1,596.85","1,596.85","165,986,600"
9-Feb-21,"1,574.67","1,588.96","1,574.23","1,586.13","1,586.13","196,502,000"
8-Feb-21,"1,580.44","1,586.06","1,572.77","1,573.33","1,573.33","184,060,700"
5-Feb-21,"1,587.70","1,590.47","1,574.69","1,578.63","1,578.63","137,659,000"
4-Feb-21,"1,582.10","1,586.55","1,576.33","1,584.90","1,584.90","187,635,200"
3-Feb-21,"1,584.02","1,597.93","1,582.54","1,582.99","1,582.99","278,473,600"
2-Feb-21,"1,575.03","1,585.18","1,571.30","1,580.49","1,580.49","315,294,100"
29-Jan-21,"1,597.16","1,597.52","1,560.54","1,566.40","1,566.40","478,916,100"
27-Jan-21,"1,585.06","1,593.08","1,580.37","1,580.62","1,580.62","247,946,400"
26-Jan-21,"1,590.59","1,609.19","1,575.31","1,575.31","1,575.31","342,432,600"
25-Jan-21,"1,600.54","1,601.54","1,575.88","1,576.62","1,576.62","273,030,500"
22-Jan-21,"1,596.06","1,605.70","1,595.02","1,596.74","1,596.74","218,347,800"
21-Jan-21,"1,608.43","1,615.22","1,594.31","1,594.80","1,594.80","147,155,800"
20-Jan-21,"1,606.55","1,616.84","1,601.54","1,601.54","1,601.54","163,315,800"
19-Jan-21,"1,611.06","1,618.41","1,601.88","1,601.88","1,601.88","137,672,400"
18-Jan-21,"1,625.35","1,625.35","1,608.64","1,609.52","1,609.52","108,538,700"
15-Jan-21,"1,637.27","1,637.88","1,626.25","1,627.01","1,627.01","135,442,000"
14-Jan-21,"1,638.00","1,646.24","1,632.20","1,635.71","1,635.71","211,876,200"
13-Jan-21,"1,617.68","1,637.31","1,617.68","1,636.69","1,636.69","215,713,300"
12-Jan-21,"1,615.84","1,621.10","1,590.71","1,612.04","1,612.04","294,833,700"
11-Jan-21,"1,627.22","1,627.22","1,607.53","1,617.25","1,617.25","312,214,300"
8-Jan-21,"1,601.95","1,633.19","1,595.12","1,633.19","1,633.19","419,320,700"
7-Jan-21,"1,589.53","1,602.95","1,572.62","1,602.95","1,602.95","344,222,000"
6-Jan-21,"1,610.78","1,610.78","1,586.25","1,591.97","1,591.97","177,008,600"
5-Jan-21,"1,603.07","1,608.35","1,589.81","1,608.35","1,608.35","214,185,500"
